"district_id","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16"
42,"Havlickuv Brod","east Bohemia",95907,87,25,5,2,7,59.0,8388,2.0,2.0,87,1658,1668
43,"Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.0,9425,1.0,2.0,125,4085,3891
44,"Chrudim","east Bohemia",105606,77,26,7,2,7,53.0,8254,2.0,3.0,97,2166,2325
45,"Jicin","east Bohemia",77917,85,19,6,1,5,53.0,8390,2.0,2.0,132,2080,2122
46,"Nachod","east Bohemia",112709,48,20,7,3,10,73.0,8369,1.0,2.0,117,2854,2618
47,"Pardubice","east Bohemia",162580,83,26,5,1,6,72.0,9538,1.0,1.0,111,6079,5410
48,"Rychnov nad Kneznou","east Bohemia",78955,50,24,8,1,9,59.0,9060,1.0,2.0,124,1655,1717
49,"Semily","east Bohemia",75685,31,28,5,1,9,60.0,8208,1.0,2.0,155,1660,2123
50,"Svitavy","east Bohemia",102609,75,33,2,3,6,52.0,8187,4.0,5.0,94,2123,2134
51,"Trutnov","east Bohemia",121947,37,28,7,3,11,70.0,8541,2.0,2.0,131,3496,3839
52,"Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.0,8363,2.0,3.0,108,2564,2799
53,"Blansko","south Moravia",107911,88,33,6,2,7,50.0,8240,2.0,3.0,99,1850,1903
54,"Brno - mesto","south Moravia",387570,0,0,0,1,1,100.0,9897,1.0,1.0,140,18721,18696
55,"Brno - venkov","south Moravia",157042,49,70,18,0,9,33.0,8743,1.0,2.0,111,3659,3894
56,"Breclav","south Moravia",124605,11,42,14,1,8,46.0,8772,4.0,4.0,126,2854,3158
57,"Hodonin","south Moravia",161954,21,37,20,3,8,48.0,8720,3.0,4.0,116,3729,3651
58,"Jihlava","south Moravia",109164,98,16,6,1,4,63.0,8757,3.0,3.0,96,2212,2471
59,"Kromeriz","south Moravia",108871,41,29,7,2,6,62.0,8444,3.0,3.0,106,2595,2305
60,"Prostejov","south Moravia",110643,49,41,4,1,4,51.0,8441,3.0,4.0,115,1879,2252
61,"Trebic","south Moravia",117897,139,28,5,1,6,53.0,8814,4.0,5.0,107,2112,2059
62,"Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.0,8544,1.0,1.0,109,2719,2906
63,"Vyskov","south Moravia",86513,38,36,5,1,5,50.0,8288,3.0,4.0,110,1562,1460
64,"Zlin","south Moravia",197099,29,41,10,2,10,74.0,9624,1.0,2.0,145,4484,4265
65,"Znojmo","south Moravia",114200,101,41,4,1,4,43.0,8403,5.0,5.0,105,2157,2718
66,"Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.0,8512,3.0,4.0,102,2247,2103
67,"Bruntal","north Moravia",106054,38,25,6,2,6,63.0,8110,5.0,6.0,109,3244,3079
68,"Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.0,9893,4.0,4.0,96,5623,5887
69,"Jesenik","north Moravia",42821,4,13,5,1,3,48.0,8173,0.0,7.0,124,0,1358
70,"Karvina","north Moravia",285387,0,2,8,5,7,89.0,10177,6.0,7.0,81,9878,10108
71,"Novy Jicin","north Moravia",161227,5,35,11,4,10,69.0,8678,5.0,5.0,102,4980,4595
72,"Olomouc","north Moravia",226122,32,50,7,4,4,62.0,8994,3.0,4.0,110,9672,9208
73,"Opava","north Moravia",182027,17,49,12,2,7,56.0,8746,3.0,3.0,90,4355,4433
74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100.0,10673,4.0,5.0,100,18782,18347
75,"Prerov","north Moravia",138032,67,30,4,2,5,64.0,8819,5.0,5.0,99,4063,4505
76,"Sumperk","north Moravia",127369,31,32,13,2,7,51.0,8369,4.0,5.0,107,3736,2807
77,"Vsetin","north Moravia",148545,8,35,12,3,4,53.0,8909,4.0,5.0,113,3460,3590
